# Variant positions																													
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr				
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
ATZ	9467	10781001	737790	60419	0.56042	8.09775	10.28051	0.00098	0.99788	0.00092	0.00001	0.00367	0.00311	0.00002	0.99633	0.00311	0.00002	0.00238	0.0011	0.00001	0.99762	0.0011	0.00001	0.00269	0.00145	0.00001	-0.00187	0.00232	0.00098
CAR	14958	11321472	791191	102871	0.90864	5.84207	7.10142	0.00079	0.99755	0.00085	0.00001	0.0033	0.00189	0.00001	0.9967	0.00189	0.00001	0.0032	0.00128	0.00001	0.9968	0.00128	0.00001	0.00364	0.00172	0.00001	0.0008	0.00211	0.00079
CEBO	16920	12361099	832059	129891	1.0508	5.80552	8.28499	0.00082	0.9973	0.00092	0.00001	0.00344	0.00189	0.00001	0.99656	0.00189	0.00001	0.00355	0.00139	0.00001	0.99645	0.00139	0.00001	0.00401	0.00186	0.00001	0.00126	0.00251	0.00082
COR	10585	10872879	750878	86804	0.79835	5.23458	6.33273	0.00076	0.99774	0.00083	0.00001	0.00303	0.00175	0.00001	0.99697	0.00175	0.00001	0.00286	0.00117	0.00001	0.99714	0.00117	0.00001	0.00329	0.00161	0.00001	0.00059	0.00156	0.00076
CR	162044	13986350	869945	323795	2.31508	5.18844	9.57866	0.00083	0.99461	0.00159	0.00001	0.00311	0.00122	0.00001	0.99689	0.00122	0.00001	0.00753	0.00274	0.00001	0.99247	0.00274	0.00001	0.00842	0.00355	0.00002	0.01281	0.01238	0.00083
CUZ	25581	12830953	833160	151949	1.18424	6.43984	11.13986	0.00093	0.9971	0.00095	0.00001	0.00313	0.00147	0.00001	0.99687	0.00147	0.00001	0.00388	0.00148	0.00001	0.99612	0.00148	0.00001	0.00435	0.00194	0.00001	0.00266	0.0032	0.00093
HUT	22546	11550231	774787	132550	1.1476	5.68387	7.86112	0.00082	0.99723	0.0009	0.00001	0.0028	0.00124	0.00001	0.9972	0.00124	0.00001	0.00372	0.00141	0.00001	0.99628	0.00141	0.00001	0.0042	0.00187	0.00001	0.00313	0.00327	0.00082
LIPA	18498	12684078	819686	127009	1.00133	6.50689	10.63544	0.00092	0.99741	0.0009	0.00001	0.00358	0.00223	0.00001	0.99642	0.00223	0.00001	0.00337	0.00133	0.00001	0.99663	0.00133	0.00001	0.0038	0.00177	0.00001	0.00061	0.00286	0.00092
MU	32626	13584999	878091	222607	1.63862	6.22633	13.09319	0.00098	0.99647	0.0011	0.00001	0.00322	0.00127	0.00001	0.99678	0.00127	0.00001	0.00484	0.00175	0.00001	0.99516	0.00175	0.00001	0.00542	0.0023	0.00001	0.00512	0.00506	0.00098
OAX	15757	11052175	740407	119432	1.08062	4.0288	4.54473	0.00064	0.99726	0.0009	0.00001	0.00246	0.00112	0.00001	0.99754	0.00112	0.00001	0.00366	0.0014	0.00001	0.99634	0.0014	0.00001	0.00433	0.00205	0.00001	0.00393	0.0039	0.00064
OLV	15355	11693627	779884	91830	0.7853	6.96738	9.67989	0.00091	0.99759	0.00094	0.00001	0.0038	0.00292	0.00002	0.9962	0.00292	0.00002	0.00293	0.00124	0.00001	0.99707	0.00124	0.00001	0.00329	0.00162	0.00001	-0.00084	0.00291	0.00091
JAL	16227	11628892	799072	116243	0.99961	4.54267	4.77777	0.00064	0.99737	0.00088	0.00001	0.00282	0.0014	0.00001	0.99718	0.0014	0.00001	0.00347	0.00135	0.00001	0.99653	0.00135	0.00001	0.00402	0.0019	0.00001	0.00259	0.00292	0.00064
SAC	14622	11571077	800236	90141	0.77902	6.81923	9.04226	0.00088	0.99766	0.00087	0.00001	0.00363	0.00255	0.00001	0.99637	0.00255	0.00001	0.00293	0.00123	0.00001	0.99707	0.00123	0.00001	0.0033	0.00162	0.00001	-0.00058	0.00229	0.00088
SLP	23349	12761267	848384	179468	1.40635	5.40056	8.56973	0.00082	0.99672	0.00104	0.00001	0.00317	0.00135	0.00001	0.99683	0.00135	0.00001	0.00446	0.00165	0.00001	0.99554	0.00165	0.00001	0.00505	0.00222	0.00001	0.0042	0.00434	0.00082
TI	21934	13195112	862520	168064	1.27368	5.80959	10.05694	0.00087	0.99699	0.001	0.00001	0.00353	0.00194	0.00001	0.99647	0.00194	0.00001	0.00399	0.00152	0.00001	0.99601	0.00152	0.00001	0.00456	0.00209	0.00001	0.00252	0.0038	0.00087
TRI	22191	12888918	829361	158808	1.23213	7.58444	16.59866	0.00113	0.99715	0.00094	0.00001	0.00352	0.00206	0.00001	0.99648	0.00206	0.00001	0.0038	0.00144	0.00001	0.9962	0.00144	0.00001	0.00422	0.00187	0.00001	0.00206	0.00395	0.00113
UY	16563	12121527	825604	117502	0.96937	5.33075	6.40923	0.00073	0.99715	0.00099	0.00001	0.00346	0.00197	0.00001	0.99654	0.00197	0.00001	0.00369	0.0015	0.00001	0.99631	0.0015	0.00001	0.00419	0.00201	0.00001	0.00139	0.00281	0.00073
VC	22909	12228379	807514	148912	1.21776	6.19315	10.01269	0.0009	0.99712	0.00093	0.00001	0.00304	0.00137	0.00001	0.99696	0.00137	0.00001	0.00388	0.00146	0.00001	0.99612	0.00146	0.00001	0.00435	0.00192	0.00001	0.00295	0.00328	0.0009
YT	14769	11199114	752381	66571	0.59443	7.80292	11.43188	0.00101	0.99778	0.00096	0.00001	0.00377	0.00319	0.00002	0.99623	0.00319	0.00002	0.0025	0.00115	0.00001	0.9975	0.00115	0.00001	0.00284	0.00154	0.00001	-0.00178	0.00248	0.00101
ZON	11564	11275810	776094	68170	0.60457	7.71522	12.05285	0.00103	0.99779	0.00094	0.00001	0.00369	0.00304	0.00002	0.99631	0.00304	0.00002	0.00252	0.00115	0.00001	0.99748	0.00115	0.00001	0.00285	0.00152	0.00001	-0.0016	0.00235	0.00103
